Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
355,Kaiga-6,14.868,74.4422,India,IN,Planned,PWR,,,,,,,WNA,
356,Kakrapar-1,21.236,73.351,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1984-12-01,1993-05-06,,202.0,2015-05-24,WNA/IAEA,308.0
357,Kakrapar-2,21.236,73.351,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1985-04-01,1995-09-01,,202.0,2015-05-24,WNA/IAEA,286.0
358,Kakrapar-3,21.236,73.351,India,IN,Operational,PHWR,PHWR-700,2010-11-22,,,630.0,2021-02-14,WNA/IAEA,986.0
359,Kakrapar-4,21.236,73.351,India,IN,Under Construction,PHWR,PHWR-700,2010-11-22,,,630.0,2015-05-24,WNA/IAEA,987.0
360,Kalinin-1,57.903,35.057,Russia,RU,Operational,PWR,VVER V-338,1977-02-01,1985-06-12,,950.0,2015-05-24,WNA/IAEA,489.0
361,Kalinin-2,57.903,35.057,Russia,RU,Operational,PWR,VVER V-338,1982-02-01,1987-03-03,,950.0,2015-05-24,WNA/IAEA,490.0
362,Kalinin-3,57.903,35.057,Russia,RU,Operational,PWR,VVER V-320,1985-10-01,2005-11-08,,950.0,2015-05-24,WNA/IAEA,495.0
363,Kalinin-4,57.903,35.057,Russia,RU,Operational,PWR,VVER V-320,1986-08-01,2012-12-25,,950.0,2015-05-24,WNA/IAEA,496.0
364,Kalpakkam (PFBR),12.553,80.174,India,IN,Under Construction,FBR,Prototype,2004-10-23,,,470.0,2015-05-24,WNA/IAEA,859.0
365,Kalpakkam-1 (Madras-1 / MAPS1),12.553,80.174,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1971-01-01,1984-01-27,,202.0,2015-05-24,WNA/IAEA,304.0
366,Kalpakkam-2 (Madras-2 / MAPS2),12.553,80.174,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1972-10-01,1986-03-21,,202.0,2015-05-24,WNA/IAEA,305.0
367,Kaminoseki-1,,,Japan,JP,Planned,ABWR,,,,,,,WNA,
368,Kaminoseki-2,,,Japan,JP,Planned,ABWR,,,,,,,WNA,
369,KANUPP-1,24.845,66.79,Pakistan,PK,Operational,PHWR,CANDU-137 MW,1966-08-01,1972-12-07,,125.0,2021-06-07,WNA/IAEA,427.0
370,MZFR,49.104,8.432,Germany,DE,Shutdown,PHWR,,1961-12-01,1966-12-19,1984-05-03,50.0,2021-06-07,WNA/IAEA,93.0
371,Kashiwazaki Kariwa-1,37.434,138.598,Japan,JP,Operational,BWR,BWR-5,1980-06-05,1985-09-18,,1067.0,2015-05-24,WNA/IAEA,359.0
372,Kashiwazaki Kariwa-2,37.434,138.598,Japan,JP,Operational,BWR,BWR-5,1985-11-18,1990-09-28,,1067.0,2015-05-24,WNA/IAEA,365.0
373,Kashiwazaki Kariwa-3,37.434,138.598,Japan,JP,Operational,BWR,BWR-5,1989-03-07,1993-08-11,,1067.0,2015-05-24,WNA/IAEA,380.0
374,Kashiwazaki Kariwa-4,37.434,138.598,Japan,JP,Operational,BWR,BWR-5,1990-03-05,1994-08-11,,1067.0,2015-05-24,WNA/IAEA,381.0
375,Kashiwazaki Kariwa-5,37.434,138.598,Japan,JP,Operational,BWR,BWR-5,1985-06-20,1990-04-10,,1067.0,2015-05-24,WNA/IAEA,367.0
376,Kashiwazaki Kariwa-6,37.434,138.598,Japan,JP,Operational,BWR,ABWR,1992-11-03,1996-11-07,,1315.0,2015-05-24,WNA/IAEA,383.0
377,Kashiwazaki Kariwa-7,37.434,138.598,Japan,JP,Operational,BWR,ABWR,1993-07-01,1997-07-02,,1315.0,2015-05-24,WNA/IAEA,384.0
378,Kewaunee,44.47,-87.498,United States,US,Shutdown,PWR,WH 2LP (DRYAMB),1968-08-06,1974-06-16,2013-05-07,535.0,2017-02-10,WNA/IAEA,647.0
379,Khmelnitski-1,50.301,26.649,Ukraine,UA,Operational,PWR,VVER V-320,1981-11-01,1988-08-13,,950.0,2015-05-24,WNA/IAEA,573.0
380,Khmelnitski-2,50.301,26.649,Ukraine,UA,Operational,PWR,VVER V-320,1985-02-01,2005-12-15,,950.0,2015-05-24,WNA/IAEA,574.0
381,Khmelnitski-3,50.303056,26.642778,Ukraine,UA,Under Construction,PWR,VVER,1986-03-01,,,1035.0,2017-09-25,IAEA,581.0
382,Khmelnitski-4,50.303056,26.642778,Ukraine,UA,Under Construction,PWR,VVER,1987-02-01,,,1035.0,2017-09-25,IAEA,582.0
383,KNK-II,49.098,8.441,Germany,DE,Shutdown,FBR,Prototype,1974-09-01,1979-03-03,1991-08-23,18.0,2015-05-24,WNA/IAEA,135.0
384,Koeberg-1,-33.677,18.433,South Africa,ZA,Operational,PWR,CP1,1976-07-01,1984-07-21,,921.0,2015-05-24,WNA/IAEA,836.0
385,Koeberg-2,-33.677,18.433,South Africa,ZA,Operational,PWR,CP1,1976-07-01,1985-11-09,,921.0,2015-05-24,WNA/IAEA,837.0
386,Kola-1,67.467,32.491,Russia,RU,Operational,PWR,VVER V-230,1970-05-01,1973-12-28,,411.0,2015-05-24,WNA/IAEA,453.0
387,Kola-2,67.467,32.491,Russia,RU,Operational,PWR,VVER V-230,1970-05-01,1975-02-21,,411.0,2015-05-24,WNA/IAEA,460.0
388,Kola-3,67.467,32.491,Russia,RU,Operational,PWR,VVER V-213,1977-04-01,1982-12-03,,411.0,2015-05-24,WNA/IAEA,491.0
389,Kola-4,67.467,32.491,Russia,RU,Operational,PWR,VVER V-213,1976-08-01,1984-12-06,,411.0,2015-05-24,WNA/IAEA,492.0
390,Kori-1,35.321,129.295,South Korea,KR,Shutdown,PWR,WH 60,1972-08-01,1978-04-29,2017-06-18,558.0,2017-09-25,WNA/IAEA,394.0
391,Kori-2,35.321,129.295,South Korea,KR,Operational,PWR,WH F,1977-12-23,1983-07-25,,640.0,2021-01-05,WNA/IAEA,405.0
392,Kori-3,35.321,129.295,South Korea,KR,Operational,PWR,WH F,1979-10-01,1985-09-30,,1011.0,2021-04-19,WNA/IAEA,409.0
393,Kori-4,35.321,129.295,South Korea,KR,Operational,PWR,WH F,1980-04-01,1986-04-29,,1012.0,2021-04-19,WNA/IAEA,410.0
394,Kozloduy-1,43.744,23.776,Bulgaria,BG,Shutdown,PWR,VVER V-230,1970-04-01,1974-10-28,2002-12-31,408.0,2015-05-24,WNA/IAEA,16.0
395,Kozloduy-2,43.744,23.776,Bulgaria,BG,Shutdown,PWR,VVER V-230,1970-04-01,1975-11-10,2002-12-31,408.0,2015-05-24,WNA/IAEA,17.0
396,Kozloduy-3,43.744,23.776,Bulgaria,BG,Shutdown,PWR,VVER V-230,1973-10-01,1981-01-20,2006-12-31,408.0,2015-05-24,WNA/IAEA,18.0
397,Kozloduy-4,43.744,23.776,Bulgaria,BG,Shutdown,PWR,VVER V-230,1973-10-01,1982-06-20,2006-12-31,408.0,2015-05-24,WNA/IAEA,19.0
398,Kozloduy-5,43.744,23.776,Bulgaria,BG,Operational,PWR,VVER V-320,1980-07-09,1988-12-23,,1003.0,2021-04-19,WNA/IAEA,20.0
399,Kozloduy-6,43.744,23.776,Bulgaria,BG,Operational,PWR,VVER V-320,1982-04-01,1993-12-30,,1003.0,2020-04-18,WNA/IAEA,21.0
400,Krsko,45.939,15.516,Slovenia,SI,Operational,PWR,WH 2LP,1975-03-30,1983-01-01,,632.0,2017-02-10,WNA/IAEA,542.0
401,Kruemmel,53.41,10.41,Germany,DE,Shutdown,BWR,BWR-69,1974-04-05,1984-03-28,2011-08-06,1260.0,2015-05-24,WNA/IAEA,94.0
402,Kudankulam-1,8.167,77.713,India,IN,Operational,PWR,VVER V-412,2002-03-31,2014-12-31,,917.0,2015-05-24,WNA/IAEA,852.0
403,Kudankulam-2,8.167,77.713,India,IN,Operational,PWR,VVER V-412,2002-07-04,2017-03-31,,917.0,2017-09-25,WNA/IAEA,853.0
404,Kudankulam-3,8.16705,77.708,India,IN,Under Construction,PWR,VVER V-412,2017-06-29,,,917.0,2017-09-25,WNA/IAEA,1059.0
405,Kudankulam-4,8.16666,77.708,India,IN,Under Construction,PWR,VVER V-412,2017-10-23,,,917.0,2018-06-30,WNA/IAEA,1060.0
406,Kudankulam-5,8.16627,77.708,India,IN,Planned,PWR,,,,,,,WNA,
407,Kudankulam-6,8.16588,77.708,India,IN,Planned,PWR,,,,,,,WNA,
408,Kumharia-1,,,India,IN,Planned,PHWR,,,,,,,WNA,
409,Kumharia-2,,,India,IN,Planned,PHWR,,,,,,,WNA,
410,Kumharia-3,,,India,IN,Planned,PHWR,,,,,,,WNA,
411,Kumharia-4,,,India,IN,Planned,PHWR,,,,,,,WNA,
412,Kuosheng-1,25.203,121.662,Taiwan,TW,Shutdown,BWR,BWR-6,1975-11-19,1981-12-28,2021-07-02,948.0,2021-09-30,WNA/IAEA,556.0
413,Kuosheng-2,25.203,121.662,Taiwan,TW,Operational,BWR,BWR-6,1976-03-15,1983-03-16,,985.0,2021-04-19,WNA/IAEA,557.0
414,Kursk-1,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,1972-06-01,1977-10-12,,925.0,2015-05-24,WNA/IAEA,476.0
415,Kursk-2,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,1973-01-01,1979-08-17,,925.0,2015-05-24,WNA/IAEA,485.0
416,Kursk-3,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,1978-04-01,1984-03-30,,925.0,2015-05-24,WNA/IAEA,497.0
417,Kursk-4,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,1981-05-01,1986-02-05,,925.0,2015-05-24,WNA/IAEA,498.0
418,LaCrosse,43.559,-91.23,United States,US,Shutdown,BWR,,1963-03-01,1969-11-07,1987-04-30,50.0,2015-05-24,WNA/IAEA,710.0
419,Laguna Verde-1,19.719,-96.405,Mexico,MX,Operational,BWR,BWR-5,1976-10-01,1990-07-29,,777.0,2021-04-19,WNA/IAEA,420.0
420,Laguna Verde-2,19.719,-96.405,Mexico,MX,Operational,BWR,BWR-5,1977-06-01,1995-04-10,,780.0,2016-03-09,WNA/IAEA,421.0
421,LaSalle-1,41.246,-88.672,United States,US,Operational,BWR,BWR-5 (Mark 2),1973-09-10,1984-01-01,,1078.0,2015-05-24,WNA/IAEA,692.0
422,LaSalle-2,41.246,-88.672,United States,US,Operational,BWR,BWR-5 (Mark 2),1973-09-10,1984-10-19,,1078.0,2015-05-24,WNA/IAEA,693.0
423,Latina,41.427,12.808,Italy,IT,Shutdown,GCR,MAGNOX,1958-11-01,1964-01-01,1987-12-01,200.0,2015-05-24,WNA/IAEA,318.0
424,Leibstadt,47.601,8.183,Switzerland,CH,Operational,BWR,BWR-6,1974-01-01,1984-12-15,,960.0,2015-05-24,WNA/IAEA,59.0
425,Leningrad 2-1,59.837,29.039,Russia,RU,Operational,PWR,VVER V-491,2008-10-25,2018-10-29,,1066.0,2019-11-22,WNA/IAEA,900.0
426,Leningrad 2-2,59.837,29.039,Russia,RU,Operational,PWR,VVER V-491,2010-04-15,2021-03-18,,1066.0,2021-04-30,WNA/IAEA,901.0
427,Leningrad 2-3,59.837,29.039,Russia,RU,Planned,PWR,VVER V-491,,,,1085.0,,Wikipedia,
428,Leningrad 2-4,59.837,29.039,Russia,RU,Planned,PWR,VVER V-491,,,,1085.0,,Wikipedia,
429,Leningrad-1,59.837,29.039,Russia,RU,Shutdown,LWGR,RBMK-1000,1970-03-01,1974-11-01,2018-12-22,925.0,2019-06-02,WNA/IAEA,474.0
430,Leningrad-2,59.837,29.039,Russia,RU,Shutdown,LWGR,RBMK-1000,1970-06-01,1976-02-11,2020-11-10,925.0,2021-01-05,WNA/IAEA,475.0
431,Leningrad-3,59.837,29.039,Russia,RU,Operational,LWGR,RBMK-1000,1973-12-01,1980-06-29,,925.0,2015-05-24,WNA/IAEA,493.0
432,Leningrad-4,59.837,29.039,Russia,RU,Operational,LWGR,RBMK-1000,1975-02-01,1981-08-29,,925.0,2015-05-24,WNA/IAEA,494.0
433,Lianyungang-1,,,China,CN,Planned,PWR,,,,,,,WNA,
434,Lianyungang-2,,,China,CN,Planned,PWR,,,,,,,WNA,
435,Limerick-1,40.225,-75.584,United States,US,Operational,BWR,BWR-4 (Mark 2),1974-06-19,1986-02-01,,1055.0,2015-05-24,WNA/IAEA,678.0
436,Limerick-2,40.225,-75.584,United States,US,Operational,BWR,BWR-4 (Mark 2),1974-06-19,1990-01-08,,1055.0,2015-05-24,WNA/IAEA,679.0
437,Lingao-1,22.606,114.55,China,CN,Operational,PWR,M310,1997-05-15,2002-05-28,,950.0,2015-05-24,WNA/IAEA,67.0
438,Lingao-2,22.606,114.55,China,CN,Operational,PWR,M310,1997-11-28,2003-01-08,,950.0,2015-05-24,WNA/IAEA,68.0
439,Lingao-3,22.609,114.552,China,CN,Operational,PWR,CPR-1000,2005-12-15,2010-09-15,,1007.0,2015-05-24,WNA/IAEA,878.0
440,Lingao-4,22.609,114.552,China,CN,Operational,PWR,CPR-1000,2006-06-15,2011-08-07,,1007.0,2015-05-24,WNA/IAEA,875.0
441,Lingen,52.483,7.302,Germany,DE,Shutdown,BWR,BWR with fossil fuel-fired superheater,1964-10-01,1968-10-01,1977-01-05,183.0,2021-02-14,WNA/IAEA,133.0
442,Longyou-1,,,China,CN,Planned,PWR,,,,,,,WNA,
443,Longyou-2,,,China,CN,Planned,PWR,,,,,,,WNA,
444,Loviisa-1,60.372,26.342,Finland,FI,Operational,PWR,VVER V-213,1971-05-01,1977-05-09,,420.0,2015-05-24,WNA/IAEA,157.0
445,Loviisa-2,60.372,26.342,Finland,FI,Operational,PWR,VVER V-213,1972-08-01,1981-01-05,,420.0,2015-05-24,WNA/IAEA,158.0
446,Lucens,46.693,6.827,Switzerland,CH,Shutdown,HWGCR,HWGCR: 2-loops,1962-04-01,,1969-01-21,6.0,2015-05-24,WNA/IAEA,966.0
447,Lungmen-1,25.038,121.924,Taiwan,TW,Suspended Construction,BWR,ABWR,1999-03-31,,,1300.0,2021-02-04,WNA/IAEA,560.0
448,Lungmen-2,25.038,121.924,Taiwan,TW,Suspended Construction,BWR,ABWR,1999-08-30,,,1300.0,2021-02-04,WNA/IAEA,561.0
449,Maanshan-1,25.038,121.924,Taiwan,TW,Operational,PWR,WH 3LP (WE 312),1978-08-21,1984-07-27,,936.0,2021-04-19,WNA/IAEA,558.0
450,Maanshan-2,25.038,121.924,Taiwan,TW,Operational,PWR,WH 3LP (WE 312),1979-02-21,1985-05-18,,938.0,2021-04-19,WNA/IAEA,559.0
451,Maine Yankee,43.951,-69.695,United States,US,Shutdown,PWR,,1968-10-01,1972-12-28,1997-08-01,825.0,2015-05-24,WNA/IAEA,649.0
452,McGuire-1,35.433,-80.946,United States,US,Operational,PWR,WH 4LP (ICECND),1971-04-01,1981-12-01,,1180.0,2017-02-10,WNA/IAEA,690.0
453,McGuire-2,35.433,-80.946,United States,US,Operational,PWR,WH 4LP (ICECND),1971-04-01,1984-03-01,,1180.0,2017-02-10,WNA/IAEA,691.0
454,Mihama-1,35.701,135.962,Japan,JP,Shutdown,PWR,WH 2LP,1967-02-01,1970-11-28,2015-04-27,320.0,2017-02-10,WNA/IAEA,366.0
455,Mihama-2,35.701,135.962,Japan,JP,Shutdown,PWR,M (2-loop),1968-05-29,1972-07-25,2015-04-27,470.0,2015-05-24,WNA/IAEA,386.0
456,Mihama-3,35.701,135.962,Japan,JP,Operational,PWR,M (3-loop),1972-08-07,1976-12-01,,780.0,2015-05-24,WNA/IAEA,338.0
457,Millstone-1,41.312,-72.166,United States,US,Shutdown,BWR,,1966-05-01,1971-03-01,1998-07-01,660.0,2015-05-24,WNA/IAEA,610.0
458,Millstone-2,41.312,-72.166,United States,US,Operational,PWR,CE 2LP (DRYAMB),1969-11-01,1975-12-26,,870.0,2017-02-10,WNA/IAEA,671.0
459,Millstone-3,41.312,-72.166,United States,US,Operational,PWR,WH 4LP (DRYSUB),1974-08-09,1986-04-23,,1159.0,2017-02-10,WNA/IAEA,717.0
460,Mochovce-1,48.261,18.455,Slovakia,SK,Operational,PWR,VVER V-213,1983-10-13,1998-10-29,,408.0,2021-09-30,WNA/IAEA,550.0
461,Mochovce-2,48.261,18.455,Slovakia,SK,Operational,PWR,VVER V-213,1983-10-13,2000-04-11,,408.0,2021-09-30,WNA/IAEA,551.0
462,Mochovce-3,48.261,18.455,Slovakia,SK,Under Construction,PWR,VVER V-213,1987-01-27,,,440.0,2015-05-24,WNA/IAEA,544.0
463,Mochovce-4,48.261,18.455,Slovakia,SK,Under Construction,PWR,VVER V-213,1987-01-27,,,440.0,2015-05-24,WNA/IAEA,545.0
464,Monju,35.739,135.988,Japan,JP,Shutdown,FBR,,1986-05-10,,2017-12-05,246.0,2018-03-10,WNA/IAEA,357.0
465,Monticello,45.334,-93.85,United States,US,Operational,BWR,BWR-3 (Mark 1),1967-06-19,1971-06-30,,545.0,2017-02-10,WNA/IAEA,620.0
466,Muehleberg,46.969,7.266,Switzerland,CH,Shutdown,BWR,BWR-4,1967-03-01,1972-11-06,2019-12-20,306.0,2020-04-18,WNA/IAEA,56.0
467,Muelheim-Kaerlich,50.409,7.485,Germany,DE,Shutdown,PWR,PWR,1975-01-15,1987-08-18,1988-09-09,1219.0,2015-05-24,WNA/IAEA,96.0
468,Narora-1,28.156,78.409,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1976-12-01,1991-01-01,,202.0,2015-05-24,WNA/IAEA,306.0
469,Narora-2,28.155,78.409,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1977-11-01,1992-07-01,,202.0,2015-05-24,WNA/IAEA,307.0
470,Neckarwestheim-1,49.039,9.176,Germany,DE,Shutdown,PWR,PWR,1972-02-01,1976-12-01,2011-08-06,805.0,2015-05-24,WNA/IAEA,88.0
471,Neckarwestheim-2,49.039,9.176,Germany,DE,Operational,PWR,Konvoi,1982-11-09,1989-04-15,,1225.0,2015-05-24,WNA/IAEA,119.0
472,Niederaichbach,48.604,12.304,Germany,DE,Shutdown,HWGCR,pressure tube reactor,1966-06-01,1973-01-01,1974-07-31,100.0,2015-05-24,WNA/IAEA,84.0
473,Nine Mile Point-1,43.522,-76.412,United States,US,Operational,BWR,BWR-2 (Mark 1),1965-04-12,1969-12-01,,620.0,2015-05-24,WNA/IAEA,607.0
474,Nine Mile Point-2,43.522,-76.412,United States,US,Operational,BWR,BWR-5 (Mark 2),1975-08-01,1988-03-11,,1100.0,2015-05-24,WNA/IAEA,711.0
475,Ningde-1,27.046,120.287,China,CN,Operational,PWR,CPR-1000,2008-02-18,2013-04-15,,1018.0,2015-05-24,WNA/IAEA,921.0
476,Ningde-2,27.046,120.287,China,CN,Operational,PWR,CPR-1000,2008-11-12,2014-05-04,,1018.0,2015-05-24,WNA/IAEA,922.0
477,Ningde-3,27.046,120.287,China,CN,Operational,PWR,CPR-1000,2010-01-08,2015-06-10,,1018.0,2015-08-23,WNA/IAEA,923.0
478,Ningde-4,27.046,120.287,China,CN,Operational,PWR,CPR-1000,2010-09-29,2016-07-21,,1018.0,2016-10-03,WNA/IAEA,924.0
479,Ningde-5,27.046,120.287,China,CN,Planned,PWR,CPR-1000,,,,,,WNA/Wikipedia,
480,Ningde-6,27.046,120.287,China,CN,Planned,PWR,CPR-1000,,,,,,WNA/Wikipedia,
481,Nizhny Novgorod-1,55.786863,42.37215,Russia,RU,Planned,PWR,,,,,,2021-06-07,WNA,
482,Nizhny Novgorod-2,55.787102,42.37215,Russia,RU,Planned,PWR,,,,,,2021-06-07,WNA,
483,Nogent-1,48.517,3.52,France,FR,Operational,PWR,P4 REP 1300,1981-05-26,1988-02-24,,1310.0,2015-05-24,WNA/IAEA,215.0
484,Nogent-2,48.517,3.52,France,FR,Operational,PWR,P4 REP 1300,1982-01-01,1989-05-01,,1310.0,2015-05-24,WNA/IAEA,216.0
485,North Anna-1,38.061,-77.792,United States,US,Operational,PWR,WH 3LP (DRYSUB),1971-02-19,1978-06-06,,907.0,2017-02-10,WNA/IAEA,672.0
486,North Anna-2,38.061,-77.792,United States,US,Operational,PWR,WH 3LP (DRYSUB),1971-02-19,1980-12-14,,907.0,2017-02-10,WNA/IAEA,673.0
487,Novovoronezh 2-1,51.273,39.197,Russia,RU,Operational,PWR,VVER V-392M,2008-06-24,2017-02-27,,1114.0,2019-11-22,WNA/IAEA,898.0
488,Novovoronezh 2-2,51.273,39.197,Russia,RU,Operational,PWR,VVER V-392M,2009-07-12,2019-10-31,,1114.0,2020-04-18,WNA/IAEA,899.0
489,Novovoronezh-1,51.275,39.206,Russia,RU,Shutdown,PWR,VVER V-210,1957-07-01,1964-12-31,1988-02-16,197.0,2018-06-30,WNA/IAEA,499.0
490,Novovoronezh-2,51.275,39.206,Russia,RU,Shutdown,PWR,VVER V-365,1964-06-01,1970-04-14,1990-08-29,336.0,2018-06-30,WNA/IAEA,513.0
491,Novovoronezh-3,51.275,39.206,Russia,RU,Shutdown,PWR,VVER V-179,1967-07-01,1972-06-29,2016-12-25,385.0,2017-02-10,WNA/IAEA,519.0
492,Novovoronezh-4,51.275,39.206,Russia,RU,Operational,PWR,VVER V-179,1967-07-01,1973-03-24,,385.0,2015-05-24,WNA/IAEA,448.0
493,Novovoronezh-5,52.381,39.211,Russia,RU,Operational,PWR,VVER V-187,1974-03-01,1981-02-20,,950.0,2015-05-24,WNA/IAEA,483.0
494,Obrigheim,49.365,9.077,Germany,DE,Shutdown,PWR,,1965-03-15,1969-03-31,2005-05-11,283.0,2015-05-24,WNA/IAEA,121.0
495,Oconee-1,34.796,-82.894,United States,US,Operational,PWR,B&W LLP (DRYAMB),1967-11-06,1973-07-15,,887.0,2017-02-10,WNA/IAEA,624.0
496,Oconee-2,34.796,-82.894,United States,US,Operational,PWR,B&W LLP (DRYAMB),1967-11-06,1974-09-09,,887.0,2017-02-10,WNA/IAEA,625.0
497,Oconee-3,34.796,-82.894,United States,US,Operational,PWR,B&W LLP (DRYAMB),1967-11-06,1974-12-16,,887.0,2017-02-10,WNA/IAEA,636.0
498,Ohi-1,35.544,135.652,Japan,JP,Shutdown,PWR,WH 4LP,1972-10-26,1979-03-27,2018-03-01,1120.0,2019-06-02,WNA/IAEA,339.0
499,Ohi-2,35.544,135.652,Japan,JP,Shutdown,PWR,WH 4LP,1972-12-08,1979-12-05,2018-03-01,1120.0,2019-06-02,WNA/IAEA,343.0
500,Ohi-3,35.544,135.652,Japan,JP,Operational,PWR,M (4-loop),1987-10-03,1991-12-18,,1127.0,2015-05-24,WNA/IAEA,378.0
501,Ohi-4,35.544,135.652,Japan,JP,Operational,PWR,M (4-loop),1988-06-13,1993-02-02,,1127.0,2015-05-24,WNA/IAEA,379.0
502,Ohma,41.507,140.909,Japan,JP,Under Construction,BWR,ABWR,2010-05-07,,,1328.0,2017-02-10,WNA/IAEA,867.0
503,Oldbury-A1,51.649,-2.567,United Kingdom,GB,Shutdown,GCR,MAGNOX,1962-05-01,1967-12-31,2012-02-29,300.0,2015-05-24,WNA/IAEA,237.0
504,Oldbury-A2,51.649,-2.567,United Kingdom,GB,Shutdown,GCR,MAGNOX,1962-05-01,1968-09-30,2011-06-30,300.0,2015-05-24,WNA/IAEA,238.0
505,Olkiluoto-1,61.235,21.444,Finland,FI,Operational,BWR,"AA-III, BWR-2500",1974-02-01,1979-10-10,,660.0,2018-03-10,WNA/IAEA,159.0
506,Olkiluoto-2,61.235,21.444,Finland,FI,Operational,BWR,"AA-III, BWR-2500",1975-11-01,1982-07-10,,660.0,2018-03-10,WNA/IAEA,160.0
507,Olkiluoto-3,61.234,21.435,Finland,FI,Under Construction,PWR,EPR,2005-08-12,,,1600.0,2015-05-24,WNA/IAEA,860.0
508,Olkiluoto-4,61.234352,21.436287,Finland,FI,Planned,,,,,,,,WNA,
509,Onagawa-1,38.4,141.504,Japan,JP,Shutdown,BWR,BWR-4,1980-07-08,1984-06-01,2018-12-21,498.0,2021-02-14,WNA/IAEA,347.0
510,Onagawa-2,38.4,141.504,Japan,JP,Operational,BWR,BWR-5,1991-04-12,1995-07-28,,796.0,2015-05-24,WNA/IAEA,382.0
511,Onagawa-3,38.4,141.504,Japan,JP,Operational,BWR,BWR-5,1998-01-23,2002-01-30,,796.0,2015-05-24,WNA/IAEA,385.0
512,Oskarshamn-1,57.415,16.666,Sweden,SE,Shutdown,BWR,AA-I,1966-08-01,1972-02-06,2017-06-19,440.0,2018-03-10,WNA/IAEA,534.0
513,Oskarshamn-2,57.415,16.666,Sweden,SE,Shutdown,BWR,AA-II,1969-09-01,1975-01-01,2016-12-22,580.0,2018-03-10,WNA/IAEA,535.0
514,Oskarshamn-3,57.415,16.666,Sweden,SE,Operational,BWR,"AA-IV, BWR-3000",1980-05-01,1985-08-15,,1050.0,2018-03-10,WNA/IAEA,531.0
515,Oyster Creek,39.815,-74.208,United States,US,Shutdown,BWR,BWR-2 (Mark 1),1964-12-15,1969-12-01,2018-09-17,650.0,2018-10-13,WNA/IAEA,606.0
516,Paks-1,46.574,18.855,Hungary,HU,Operational,PWR,VVER V-213,1974-08-01,1983-08-10,,408.0,2015-05-24,WNA/IAEA,278.0
517,Paks-2,46.574,18.855,Hungary,HU,Operational,PWR,VVER V-213,1974-08-01,1984-11-14,,410.0,2015-05-24,WNA/IAEA,279.0
518,Paks-3,46.574,18.855,Hungary,HU,Operational,PWR,VVER V-213,1979-10-01,1986-12-01,,410.0,2015-05-24,WNA/IAEA,280.0
519,Paks-4,46.574,18.855,Hungary,HU,Operational,PWR,VVER V-213,1979-10-01,1987-11-01,,410.0,2015-05-24,WNA/IAEA,281.0
520,Palisades,42.323,-86.316,United States,US,Operational,PWR,CE 2LP (DRYAMB),1967-03-14,1971-12-31,,805.0,2017-02-10,WNA/IAEA,616.0
521,Palo Verde-1,33.387,-112.863,United States,US,Operational,PWR,CE80 2LP (DRYAMB),1976-05-25,1986-01-28,,1221.0,2017-02-10,WNA/IAEA,789.0
522,Palo Verde-2,33.387,-112.863,United States,US,Operational,PWR,CE80 2LP (DRYAMB),1976-06-01,1986-09-19,,1304.0,2017-02-10,WNA/IAEA,790.0
523,Palo Verde-3,33.387,-112.863,United States,US,Operational,PWR,CE80 2LP (DRYAMB),1976-06-01,1988-01-08,,1304.0,2017-02-10,WNA/IAEA,791.0
524,Paluel-1,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,1977-08-15,1985-12-01,,1330.0,2015-05-24,WNA/IAEA,191.0
525,Paluel-2,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,1978-01-01,1985-12-01,,1330.0,2015-05-24,WNA/IAEA,192.0
526,Paluel-3,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,1979-02-01,1986-02-01,,1330.0,2015-05-24,WNA/IAEA,193.0
527,Paluel-4,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,1980-02-01,1986-06-01,,1330.0,2015-05-24,WNA/IAEA,194.0
528,Pathfinder,43.603,-96.636,United States,US,Shutdown,BWR,Prototype,1959-01-01,1966-08-01,1967-10-01,59.0,2017-02-10,WNA/IAEA,598.0
529,Peach Bottom-1,39.759,-76.27,United States,US,Shutdown,HTGR,,1962-02-01,1967-06-01,1974-11-01,40.0,2015-05-24,WNA/IAEA,603.0
530,Peach Bottom-2,39.759,-76.27,United States,US,Operational,BWR,BWR-4 (Mark 1),1968-01-31,1974-07-05,,1065.0,2015-05-24,WNA/IAEA,629.0
531,Peach Bottom-3,39.759,-76.27,United States,US,Operational,BWR,BWR-4 (Mark 1),1968-01-31,1974-12-23,,1065.0,2015-05-24,WNA/IAEA,630.0
532,Pengze-1,,,China,CN,Planned,PWR,AP-1000,,,,,,WNA,
